合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,394.90,394.90,394.30,394.70,-1.84,-0.46%,394.71,26.00,"10,262,600.00",-,,
Au99.99,397.00,398.70,394.00,394.00,-2.50,-0.63%,394.75,"12,204.48","4,765,076,094.40",-,,
Au100g,395.86,398.29,394.52,395.10,-1.50,-0.38%,396.00,23.20,"9,187,370.00",-,,
iAu99.99,397.11,397.50,395.00,396.65,-1.11,-0.28%,396.65,0.80,"317,322.00",-,,
Au(T+D),396.00,398.60,393.51,393.69,-5.08,-1.27%,395.45,"14,084.00","5,569,564,200.00","163,490",空支付给多,"5,064"
Au(T+N1),398.00,398.50,394.00,394.70,-5.75,-1.44%,397.65,49.80,"19,803,280.00","73,760",,
Au(T+N2),399.20,403.00,398.00,398.30,-4.50,-1.12%,400.50,11.40,"4,565,930.00","74,124",,
mAu(T+D),396.00,398.60,393.78,393.89,-5.17,-1.30%,395.36,"2,674.60","1,057,441,866.00","591,822",多支付给空,"25,084"
Pt99.95,212.00,212.57,211.30,211.56,-1.99,-0.93%,211.79,660.00,"139,781,940.00",-,,
Ag(T+D),"5,119","5,147","5,085","5,097",-61,-1.18%,"5,111","1,629,426.00","8,328,466,852.00","6,765,890",多支付给空,"294,540"
NYAuTN06,399.00,399.15,394.80,395.15,-4.80,-1.20%,396.50,17.80,"7,057,840.00","34,034",,
NYAuTN12,405.00,405.15,400.50,401.20,-3.55,-0.88%,401.80,33.00,"13,259,840.00","67,162",,
PGC30g,401.00,401.00,401.00,401.00,-1.61,-0.40%,401.00,0.06,"24,060.00",-,,
