合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,399.50,399.50,396.00,396.54,-5.06,-1.26%,396.76,26.00,"10,316,000.00",-,,
Au99.99,398.50,401.60,396.50,396.50,-3.50,-0.88%,398.55,"9,889.98","3,934,759,907.20",-,,
Au100g,400.00,401.50,396.50,396.60,-4.85,-1.21%,398.81,44.20,"17,627,764.00",-,,
iAu99.99,400.00,401.60,397.00,397.76,-3.11,-0.78%,400.91,11.10,"4,450,147.20",-,,
Au(T+D),400.70,401.90,396.25,396.33,-4.74,-1.18%,398.77,"15,838.00","6,315,764,340.00","165,690",空支付给多,"10,574"
Au(T+N1),401.65,401.85,398.00,398.35,-2.70,-0.67%,400.45,12.80,"5,126,100.00","73,382",,
Au(T+N2),404.00,404.60,400.00,403.05,-1.65,-0.41%,402.80,9.80,"3,947,620.00","74,114",,
mAu(T+D),400.00,401.85,396.33,396.46,-4.58,-1.14%,399.06,"3,154.80","1,258,970,296.00","597,998",多支付给空,"37,036"
Pt99.95,217.68,217.68,213.32,213.55,-6.32,-2.87%,214.19,878.00,"188,141,160.00",-,,
Ag(T+D),"5,208","5,216","5,117","5,132",-59,-1.14%,"5,158","2,257,378.00","11,644,723,178.00","6,785,870",多支付给空,"19,410"
NYAuTN06,400.65,402.15,397.40,397.55,-4.15,-1.03%,399.95,67.80,"27,116,500.00","34,098",,
NYAuTN12,406.80,406.95,402.75,403.15,-4.50,-1.10%,404.75,37.00,"14,975,720.00","67,086",,
PGC30g,402.61,402.61,402.61,402.61,-4.89,-1.20%,402.61,0.06,"24,156.60",-,,
